BWV,BC,Title,Key,Date,Genre,Scoring,Notes
766,K 094,"Christ, der du bist der helle Tag",,1700?,"Chorales
Partitas",For organ,
767,K 095,"O Gott, du frommer Gott",,?,"Chorales
Partitas",For organ,
768,K 096,"Sei gegrüsset, Jesu gütig",,1710?,"Chorales
Partitas",For organ,
769,—,"Vom himmel hoch, da komm ich her (I)",,1747,"Canons
Variations",For organ,see also BWV 769a
769a,—,"Vom himmel hoch, da komm ich her (I)",,1747,"Canons
Variations",For organ,alternative version of BWV 769
770,K 093,"Ach, was soll ich Sünder machen",,?,"Chorales
Partitas",For organ,
771,—,Allein Gott in der Höh sei Ehr',,—,"Chorales
Variations",For organ,spurious; composed by Nicolaus Vetter
